local_code,mapped_code
36825,1113910930
29434,1115100101
36987,1112210825
12793,1112612501
42975,1111410238
30707,1113610516
36350,1113410528
27337,1111811821
28714,1112611103
36226,1113813406
28764,1112810401
30727,1113812906
44317,1113011511
39760,1111811605
19513,1111811602
13048,1113910807
43686,1114410148
25198,1113110203
38522,1111611003
42648,1111810301
29863,1113910701
27239,1112313501
26109,1111610317
18622,1114010905
36749,1114011801
40253,1112611419
13040,1113910213
41780,1111811175
12778,1112612540
33172,1113811411
27472,1111610627
30586,1111410235
31299,1112313501
12870,1113110106
40713,1111810252
45501,1111813510
32316,1111810718
27210,1113410619
41818,1117600530
36548,1112611212
22453,1111610103
23172,1114011145
46174,1111813510
29539,1111810817
30015,1111611112
28448,1111811301
28446,1111811306
38870,1111811407
31774,1112812149
46462,1110510209
18039,1112210502
13063,1113910828
31519,1113910915
26268,1114010902
28981,1114011801
20827,1111811639
22425,1111410405
29437,1115100108
27475,1111610613
17091,1113910912
27769,1112210819
39473,1113610501
25777,1113910627
31010,1113011504
19034,1113813214
22726,1113610593
36970,1112210631
45200,1111813528
46395,1113813318
16933,1110510308
40504,1112613274
37206,1110312103
13005,1113812516
31126,1110311202
29441,1115100101
30396,1114011801
12617,1111610821
22556,1113010826
31514,1113910906
29683,1113410501
41126,1110510227
12939,1113811004
22032,1111810820
26677,1111811143
12866,1113010605
45992,1113010702
45947,1113813002
12418,1110310817
17000,1111811336
33014,1111210709
22013,1113812006
28929,1111812338
36036,1113410523
31837,1112311605
33290,1110711916
19028,1113813221
39472,1113610522
31478,1112611146
26189,1110710602
18735,1112310152
36730,1110510501
12572,1110711802
32284,1112010203
12896,1113310404
31347,1110511805
36826,1113910964
22711,1113813003
25690,1113810703
32050,1112610619
12898,1113310402
22892,1111811424
13051,1113910810
30086,1110310816
28012,1110510239
18934,1111410637
12469,1111210406
42995,1112210115
45214,1113611101
30455,1114110604
39299,1112612528
45882,1111812913
40923,1112811309
43554,1112612416
27085,1113610349
24268,1110310602
30463,1113610506
